Number,Author name,Book Title,Average Rating,Ratings,Score,Votes,Book Link,Publication Date,Number of Pages,Rating Category
11,Oscar Wilde,The Picture of Dorian Gray,4.13,1693073.0,1294912,13514,https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray,"June 1, 1890",272,High
12,Shel Silverstein,The Giving Tree,4.38,1182522.0,1204855,12472,https://www.goodreads.com/book/show/370493.The_Giving_Tree,"January 1, 1964",64,High
13,Emily Brontë,Wuthering Heights,3.9,1908489.0,1200216,12523,https://www.goodreads.com/book/show/6185.Wuthering_Heights,"December 1, 1847",464,Medium
14,Margaret Mitchell,Gone with the Wind,4.31,1243813.0,1178656,12153,https://www.goodreads.com/book/show/18405.Gone_with_the_Wind,"June 30, 1936",1037,High
15,Rick Riordan,"The Lightning Thief (Percy Jackson and the Olympians, #1)",4.31,3234972.0,1155827,12092,https://www.goodreads.com/book/show/28187.The_Lightning_Thief,"July 28, 2005",377,High
16,Stephen Chbosky,The Perks of Being a Wallflower,4.23,1896351.0,1133754,11803,https://www.goodreads.com/book/show/22628.The_Perks_of_Being_a_Wallflower,"February 1, 1999",213,High
17,Charlotte Brontë,Jane Eyre,4.15,2201660.0,1095987,11518,https://www.goodreads.com/book/show/10210.Jane_Eyre,"October 16, 1847",532,High
18,Antoine de Saint-Exupéry,The Little Prince,4.33,2273921.0,1092796,11523,https://www.goodreads.com/book/show/157993.The_Little_Prince,"January 1, 1943",96,High
19,F. Scott Fitzgerald,The Great Gatsby,3.93,5554978.0,1062298,11312,https://www.goodreads.com/book/show/4671.The_Great_Gatsby,"April 10, 1925",180,Medium
20,Dan    Brown,"The da Vinci Code (Robert Langdon, #2)",3.92,2433649.0,1001858,10526,https://www.goodreads.com/book/show/968.The_da_Vinci_Code,"January 1, 2003",489,Medium
21,Fyodor Dostoevsky,Crime and Punishment,4.28,977593.0,1000366,10412,https://www.goodreads.com/book/show/7144.Crime_and_Punishment,"January 1, 1866",671,High
22,Lewis Carroll,Alice’s Adventures in Wonderland / Through the Looking-Glass,4.06,585931.0,980629,10336,https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass,"December 27, 1871",239,High
23,Veronica Roth,"Divergent (Divergent, #1)",4.14,4187038.0,971171,10182,https://www.goodreads.com/book/show/13335037-divergent,"April 25, 2011",487,High
24,Arthur Golden,Memoirs of a Geisha,4.16,2055263.0,950471,9901,https://www.goodreads.com/book/show/929.Memoirs_of_a_Geisha,"September 27, 1997",503,High
25,Victor Hugo,Les Misérables,4.21,822147.0,940791,9877,https://www.goodreads.com/book/show/24280.Les_Mis_rables,"March 31, 1862",1463,High
26,Paulo Coelho,The Alchemist,3.92,3299697.0,930861,9722,https://www.goodreads.com/book/show/865.The_Alchemist,"January 1, 1988",197,Medium
